Wall time,Step,Value
1519948383.60672,7235720,96
1519948390.01848,7236460,92
1519948461.62266,7244560,79
1519948582.0128,7258160,84
1519948646.16394,7265460,81
1519948907.02244,7295020,73
1519949020.04491,7307560,91
1519949113.65683,7318020,97
1519949250.52584,7333480,80
1519949275.77028,7336360,81
1519949339.53692,7343520,93
1519949416.48714,7352160,81
1519949433.74643,7354140,86
1519949441.40921,7355000,93
1519949457.71126,7356840,85
1519949468.10259,7358040,83
1519949497.24173,7361360,99
1519949528.04584,7364820,69
1519949596.42032,7372520,91
1519949649.42648,7378520,83
1519949720.30935,7386360,91
1519949844.70785,7400220,102
1519949907.52655,7407240,92
1519949936.03991,7410480,71
1519950064.28478,7425000,89
1519950331.59844,7455180,82
1519950355.82699,7457940,78
1519950484.05072,7472400,81
1519950680.08459,7494560,100
1519950712.92726,7498260,101
1519950809.05715,7508920,94
1519950825.43921,7510780,81
1519950852.60298,7513840,74
1519950905.75476,7519840,92
1519950931.00096,7522720,95
1519950958.79877,7525860,80
1519951000.18467,7530520,109
1519951122.54294,7544400,83
1519951177.95869,7550640,72
1519951208.54572,7554080,105
1519951213.90573,7554700,85
1519951242.02168,7557880,101
1519951271.40432,7561240,82
1519951319.13675,7566660,91
1519951369.5642,7572360,84
1519951446.11488,7580980,73
1519951573.66321,7595120,92
1519951631.83638,7601460,69
1519951658.4651,7604500,103
1519951760.26545,7616020,94
1519951865.24236,7627860,84
1519951917.98591,7633840,93
1519951955.72454,7638120,91
1519951959.46847,7638560,90
1519951978.6453,7640700,101
1519951981.5745,7641040,79
1519952023.44357,7645780,80
1519952081.70961,7652400,81
1519952213.9511,7667360,69
1519952405.44196,7689080,66
1519952654.5374,7716840,83
1519952727.1463,7725000,105
1519952746.25447,7727180,89
1519952870.57446,7741080,92
1519952912.20376,7745720,84
1519953042.30839,7760120,85
1519953108.028,7767320,82
1519953196.47044,7776940,87
1519953316.28756,7789860,81
1519953440.83609,7803260,88
1519953484.21178,7808020,73
1519953515.87796,7811480,84
1519953636.26639,7824680,81
1519953701.98502,7831860,94
1519953796.45291,7842060,94
1519953834.6652,7846160,86
1519953980.92912,7861960,109
1519954100.59383,7874820,92
1519954114.29347,7876300,84
1519954437.09083,7910700,75
1519954440.36645,7911080,80
1519954569.08234,7924860,88
1519954636.70939,7932180,81
1519954710.43153,7940020,81
1519954843.06522,7954240,74
1519954977.51036,7968680,84
1519955040.58768,7975460,103
1519955071.01483,7978740,80
1519955174.45495,7989680,80
1519955175.66041,7989820,90
1519955206.52577,7993100,91
1519955229.50646,7995620,80
